id	link	date	text	category	sentiment
1459304120981100000	https://twitter.com/twitter/statuses/1459304120981102596	Fri Nov 12 23:36:29 +0000 2021	@xj6response @KrisEriksen77 The covid vaccines cause the production of short-term antibodies and nothing more, which gives 0% protection from being infected or spreading the virus, and in some cases will result in antibody dependent enhancement of the disease. long story short, this vaccine is a failure.	efficacy	negative
1459304042660860000	https://twitter.com/twitter/statuses/1459304042660868096	Fri Nov 12 23:36:10 +0000 2021	@henry_roadbilly @DrKyle Sorry I was asking @DrKyle how we know these were preventable if you can die from covid while being double vaccinated.	efficacy	negative
1459303874284630000	https://twitter.com/twitter/statuses/1459303874284634117	Fri Nov 12 23:35:30 +0000 2021	@sgec Old news and a lie.\n\nHmmm...it seems that Gavin Newsom is fine with no side-effects from the vaccine.\n\nThis is what anti-vaxxers do - you'll never see a retraction or apology for the mis-information.\n\nNo integrity whatsoever.\n\n#TyphoidMary	unvax	positive
1459303872900390000	https://twitter.com/twitter/statuses/1459303872900390914	Fri Nov 12 23:35:30 +0000 2021	@CTVNews As long as vaccine companies won’t allow  early treatments to be used along with vaccines! This pandemic won’t end	efficacy	negative
1459303836108140000	https://twitter.com/twitter/statuses/1459303836108140553	Fri Nov 12 23:35:21 +0000 2021	@CommrRCMPGRC Imagine the disgust that all those fallen soldiers would feel watching you and this government force good people out of jobs for not taking an experimental vaccine!! The vaccine doesn’t stop transmission or infection. This is not freedom. History will not remember you kindly!!!!	efficacy	negative
1459303759905890000	https://twitter.com/twitter/statuses/1459303759905890312	Fri Nov 12 23:35:03 +0000 2021	@NameBunchOf123 @CMOH_Alberta Why do you think that is ?  The vaccine is doing its job it wanes. Just like natural immunity. But with less hospitalizations. Which is the goal at this point.  Along with fewer cases of course.	spread	positive
1459303552971580000	https://twitter.com/twitter/statuses/1459303552971587589	Fri Nov 12 23:34:14 +0000 2021	@StopNoPassList Don't the vaxxed also spread covid? If so, does this not render vax passports useless and a mere illusion of safety?	mandates	negative
1459303520461590000	https://twitter.com/twitter/statuses/1459303520461598720	Fri Nov 12 23:34:06 +0000 2021	Some leading causes of death in the State of Texas\n5. Homicide: 1,653\n4. Drug overdose deaths: 2,989\n3. Firearm deaths: 3,583\n2. Accidents: 10,763\n1. Deaths from COVID19 vaccine refusal since June 1, 2021 even though vaccines widely available: 21,000	political	positive
1459303487687170000	https://twitter.com/twitter/statuses/1459303487687172098	Fri Nov 12 23:33:58 +0000 2021	@RogueNerdOne @Stephwolfe101 Except our ignorant #UCP gov't has specifically exempted covid vaccines from mature minor allowance.	political	positive
1459303404249880000	https://twitter.com/twitter/statuses/1459303404249882626	Fri Nov 12 23:33:38 +0000 2021	@Pinkpanther801 @askwhymoreoften @SexyEmmm @GuyThompson_Esq @cbcnewsbc What side effects? The rare ones? Like every vaccine and drug has? Ive had my vaccine for 9 months and no side effects. Almost as if your narrative is fake 🐑🤡	side_effect	positive
1459303236607820000	https://twitter.com/twitter/statuses/1459303236607823883	Fri Nov 12 23:32:58 +0000 2021	Third dose COVID-19 vaccination clinic appointments at Wabano for First Nation, Inuit and Métis 16 and up are now available!\nAnyone  ​who received their second dose of COVID-19 vaccine at least 6 months (24 weeks) ago will be eligible.\n1/3	information	neutral
1459303143519300000	https://twitter.com/twitter/statuses/1459303143519309828	Fri Nov 12 23:32:36 +0000 2021	@badlandj @Stephwolfe101 1 in 5000? The vaccine would be pulled. There's been 6 BILLION doses given, so that would mean MILLIONS became affected.\n\nAlso, my son wound up with myocarditis and pericarditis from his vaccine and I still took my other two the next day for theirs.	side_effect	positive
1459303130059790000	https://twitter.com/twitter/statuses/1459303130059792385	Fri Nov 12 23:32:33 +0000 2021	@vancolour @Schtaunkhauser All soldiers had to present proof of immunization records when they enlisted.  I think they would be fine with the vaccine mandate	mandates	positive
1459303124628210000	https://twitter.com/twitter/statuses/1459303124628217856	Fri Nov 12 23:32:32 +0000 2021	@BoredAlive1 @SexyEmmm @GuyThompson_Esq @cbcnewsbc Youre so delusional this is pointless. You can say the mrna vaccine has over 20 years of testing because they tested in monkeys in the 1990’s. Will you tho? Nope, only when it supports what u want. It was a different polio vaccine but thats fine i guess 🤡	efficacy	positive
1459303097784620000	https://twitter.com/twitter/statuses/1459303097784627202	Fri Nov 12 23:32:25 +0000 2021	@Martyupnorth_ Nothing says “I’m a complete idiot” like referring to a vaccine as the jab.	unvax	positive
